NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10946.45,10.02,2020,CORN
Rice,3,0.27,0.0,2020,RICE
Sorghum,4,75.09,0.07,2020,SGHY
Soybeans,5,9766.38,8.94,2020,SOYB
Sunflower,6,3.76,0.0,2020,SUNF
Sweet Corn,12,4.89,0.0,2020,CORN
Pop or Orn Corn,13,5.29,0.0,2020,CORN
Mint,14,11.96,0.01,2020,AGRR
Barley,21,18.12,0.02,2020,BARL
Durum Wheat,22,0.49,0.0,2020,AGRR
Spring Wheat,23,3.86,0.0,2020,SWHT
Winter Wheat,24,1931.25,1.77,2020,WWHT
Dbl Crop WinWht/Soybeans,26,5.43,0.0,2020,SOYB
Rye,27,197.26,0.18,2020,RYE
Oats,28,628.03,0.57,2020,OATS
Millet,29,4.09,0.0,2020,LENT
Speltz,30,5.93,0.01,2020,GRAS
Canola,31,1.88,0.0,2020,CANA
Alfalfa,36,4131.8,3.78,2020,ALFA
Other Hay/Non Alfalfa,37,701.63,0.64,2020,ALFA
Buckwheat,39,4.93,0.0,2020,AGRR
Sugarbeets,41,604.12,0.55,2020,AGRR
Dry Beans,42,977.31,0.89,2020,AGRR
Potatoes,43,250.76,0.23,2020,POTA
Other Crops,44,14.45,0.01,2020,AGRR
Misc Vegs & Fruits,47,1.22,0.0,2020,AGRR
Watermelons,48,4.35,0.0,2020,WMEL
Onions,49,7.2,0.01,2020,ONIO
Cucumbers,50,106.76,0.1,2020,CUCM
Peas,53,13.29,0.01,2020,PEAS
Tomatoes,54,7.62,0.01,2020,TOMA
Hops,56,0.34,0.0,2020,AGRR
Herbs,57,1.01,0.0,2020,SHRB
Clover/Wildflowers,58,94.04,0.09,2020,CLVA
Sod/Grass Seed,59,27.49,0.03,2020,GRAS
Switchgrass,60,0.22,0.0,2020,GRAS
Fallow/Idle Cropland,61,1088.29,1.0,2020,AGRR
Cherries,66,467.01,0.43,2020,GRAP
Peaches,67,9.35,0.01,2020,GRAP
Apples,68,347.06,0.32,2020,APPL
Grapes,69,109.53,0.1,2020,GRAP
Christmas Trees,70,185.58,0.17,2020,GRAP
Other Tree Crops,71,4.05,0.0,2020,GRAP
Walnuts,76,2.33,0.0,2020,WALN
Pears,77,4.27,0.0,2020,GRAP
Aquaculture,92,0.18,0.0,2020,AGRR
Open Water,111,2628.55,2.41,2020,WATR
Developed/Open Space,121,6156.02,5.63,2020,UIDU
Developed/Low Intensity,122,4760.8,4.36,2020,URLD
Developed/Med Intensity,123,2146.69,1.96,2020,URMD
Developed/High Intensity,124,876.19,0.8,2020,URHD
Barren,131,356.61,0.33,2020,SHRB
Deciduous Forest,141,25572.34,23.4,2020,FRSD
Evergreen Forest,142,4456.19,4.08,2020,FRSE
Mixed Forest,143,2796.29,2.56,2020,FRST
Shrubland,152,1041.98,0.95,2020,SHRB
 Grassland/Pasture,176,4818.56,4.41,2020,PAST
Woody Wetlands,190,20209.87,18.49,2020,WETL
Herbaceous Wetlands,195,409.11,0.37,2020,WETL
Triticale,205,23.58,0.02,2020,TRIT
Carrots,206,18.47,0.02,2020,CRRT
Asparagus,207,1.51,0.0,2020,ASPN
Broccoli,214,1.39,0.0,2020,BROC
Peppers,216,8.49,0.01,2020,PEPP
Plums,220,0.2,0.0,2020,GRAP
Strawberries,221,0.16,0.0,2020,GRAP
Squash,222,21.97,0.02,2020,AGRR
Vetch,224,0.04,0.0,2020,GRAS
Dbl Crop WinWht/Corn,225,1.62,0.0,2020,CORN
Dbl Crop Triticale/Corn,228,2.71,0.0,2020,CORN
Pumpkins,229,6.69,0.01,2020,AGRR
Dbl Crop WinWht/Sorghum,236,0.36,0.0,2020,AGRR
Dbl Crop Soybeans/Oats,240,0.0,0.0,2020,AGRR
Blueberries,242,180.15,0.16,2020,GRAP
Cabbage,243,15.69,0.01,2020,CABG
Celery,245,0.59,0.0,2020,CELR
Radishes,246,2.35,0.0,2020,RADI
Turnips,247,0.61,0.0,2020,AGRR
Eggplants,248,0.02,0.0,2020,EGGP
Gourds,249,0.06,0.0,2020,ORCD
Dbl Crop Barley/Soybeans,254,0.01,0.0,2020,AGRR
