NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10289.04,9.41,2018,CORN
Sorghum,4,29.3,0.03,2018,SGHY
Soybeans,5,10342.51,9.46,2018,SOYB
Sunflower,6,4.96,0.0,2018,SUNF
Pop or Orn Corn,13,1.45,0.0,2018,CORN
Barley,21,12.85,0.01,2018,BARL
Spring Wheat,23,0.67,0.0,2018,SWHT
Winter Wheat,24,2503.59,2.29,2018,WWHT
Dbl Crop WinWht/Soybeans,26,3.63,0.0,2018,SOYB
Rye,27,58.37,0.05,2018,RYE
Oats,28,144.05,0.13,2018,OATS
Millet,29,0.09,0.0,2018,LENT
Speltz,30,4.7,0.0,2018,GRAS
Alfalfa,36,4214.61,3.86,2018,ALFA
Other Hay/Non Alfalfa,37,852.02,0.78,2018,ALFA
Buckwheat,39,0.03,0.0,2018,AGRR
Sugarbeets,41,654.58,0.6,2018,AGRR
Dry Beans,42,856.76,0.78,2018,AGRR
Potatoes,43,163.59,0.15,2018,POTA
Other Crops,44,3.71,0.0,2018,AGRR
Misc Vegs & Fruits,47,0.01,0.0,2018,AGRR
Watermelons,48,6.75,0.01,2018,WMEL
Onions,49,6.42,0.01,2018,ONIO
Cucumbers,50,107.78,0.1,2018,CUCM
Peas,53,10.84,0.01,2018,PEAS
Tomatoes,54,5.19,0.0,2018,TOMA
Hops,56,0.05,0.0,2018,AGRR
Herbs,57,9.34,0.01,2018,SHRB
Clover/Wildflowers,58,31.88,0.03,2018,CLVA
Sod/Grass Seed,59,20.53,0.02,2018,GRAS
Switchgrass,60,2.63,0.0,2018,GRAS
Fallow/Idle Cropland,61,590.24,0.54,2018,AGRR
Cherries,66,353.68,0.32,2018,GRAP
Peaches,67,7.37,0.01,2018,GRAP
Apples,68,219.71,0.2,2018,APPL
Grapes,69,85.3,0.08,2018,GRAP
Christmas Trees,70,140.78,0.13,2018,GRAP
Other Tree Crops,71,0.01,0.0,2018,GRAP
Walnuts,76,0.01,0.0,2018,WALN
Pears,77,1.23,0.0,2018,GRAP
Aquaculture,92,0.02,0.0,2018,AGRR
Open Water,111,2701.6,2.47,2018,WATR
Developed/Open Space,121,6931.12,6.34,2018,UIDU
Developed/Low Intensity,122,4874.54,4.46,2018,URLD
Developed/Med Intensity,123,2030.41,1.86,2018,URMD
Developed/High Intensity,124,820.28,0.75,2018,URHD
Barren,131,340.64,0.31,2018,SHRB
Deciduous Forest,141,29149.76,26.67,2018,FRSD
Evergreen Forest,142,4800.85,4.39,2018,FRSE
Mixed Forest,143,879.56,0.8,2018,FRST
Shrubland,152,2163.92,1.98,2018,SHRB
 Grassland/Pasture,176,7077.5,6.48,2018,PAST
Woody Wetlands,190,14708.37,13.46,2018,WETL
Herbaceous Wetlands,195,923.16,0.84,2018,WETL
Triticale,205,4.19,0.0,2018,TRIT
Carrots,206,10.3,0.01,2018,CRRT
Asparagus,207,6.12,0.01,2018,ASPN
Peppers,216,4.37,0.0,2018,PEPP
Plums,220,0.02,0.0,2018,GRAP
Strawberries,221,0.03,0.0,2018,GRAP
Squash,222,15.72,0.01,2018,AGRR
Vetch,224,0.08,0.0,2018,GRAS
Dbl Crop WinWht/Corn,225,6.19,0.01,2018,CORN
Dbl Crop Oats/Corn,226,0.01,0.0,2018,CORN
Pumpkins,229,5.26,0.0,2018,AGRR
Dbl Crop Soybeans/Oats,240,0.03,0.0,2018,AGRR
Blueberries,242,86.19,0.08,2018,GRAP
Cabbage,243,7.1,0.01,2018,CABG
Celery,245,0.74,0.0,2018,CELR
Radishes,246,3.7,0.0,2018,RADI
Turnips,247,0.44,0.0,2018,AGRR
Gourds,249,0.0,0.0,2018,ORCD
