NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10206.08,9.34,2021,CORN
Sorghum,4,92.04,0.08,2021,SGHY
Soybeans,5,9995.88,9.15,2021,SOYB
Sunflower,6,8.85,0.01,2021,SUNF
Sweet Corn,12,6.96,0.01,2021,CORN
Pop or Orn Corn,13,4.52,0.0,2021,CORN
Mint,14,13.47,0.01,2021,AGRR
Barley,21,11.78,0.01,2021,BARL
Spring Wheat,23,1.28,0.0,2021,SWHT
Winter Wheat,24,2579.14,2.36,2021,WWHT
Dbl Crop WinWht/Soybeans,26,6.06,0.01,2021,SOYB
Rye,27,229.58,0.21,2021,RYE
Oats,28,446.6,0.41,2021,OATS
Millet,29,1.94,0.0,2021,LENT
Speltz,30,14.95,0.01,2021,GRAS
Canola,31,1.26,0.0,2021,CANA
Rape Seed,34,0.01,0.0,2021,CANA
Alfalfa,36,4335.36,3.97,2021,ALFA
Other Hay/Non Alfalfa,37,692.14,0.63,2021,ALFA
Buckwheat,39,0.82,0.0,2021,AGRR
Sugarbeets,41,629.91,0.58,2021,AGRR
Dry Beans,42,914.1,0.84,2021,AGRR
Potatoes,43,277.56,0.25,2021,POTA
Other Crops,44,23.95,0.02,2021,AGRR
Misc Vegs & Fruits,47,1.44,0.0,2021,AGRR
Watermelons,48,5.92,0.01,2021,WMEL
Onions,49,5.06,0.0,2021,ONIO
Cucumbers,50,153.32,0.14,2021,CUCM
Peas,53,9.05,0.01,2021,PEAS
Tomatoes,54,16.79,0.02,2021,TOMA
Hops,56,0.66,0.0,2021,AGRR
Herbs,57,5.25,0.0,2021,SHRB
Clover/Wildflowers,58,102.26,0.09,2021,CLVA
Sod/Grass Seed,59,25.89,0.02,2021,GRAS
Switchgrass,60,0.02,0.0,2021,GRAS
Fallow/Idle Cropland,61,164.15,0.15,2021,AGRR
Cherries,66,449.81,0.41,2021,GRAP
Peaches,67,7.15,0.01,2021,GRAP
Apples,68,338.79,0.31,2021,APPL
Grapes,69,106.06,0.1,2021,GRAP
Christmas Trees,70,186.4,0.17,2021,GRAP
Other Tree Crops,71,4.5,0.0,2021,GRAP
Walnuts,76,0.87,0.0,2021,WALN
Pears,77,4.5,0.0,2021,GRAP
Aquaculture,92,0.66,0.0,2021,AGRR
Open Water,111,2573.39,2.35,2021,WATR
Developed/Open Space,121,5939.78,5.43,2021,UIDU
Developed/Low Intensity,122,5072.22,4.64,2021,URLD
Developed/Med Intensity,123,2997.94,2.74,2021,URMD
Developed/High Intensity,124,1173.29,1.07,2021,URHD
Barren,131,286.8,0.26,2021,SHRB
Deciduous Forest,141,24276.68,22.21,2021,FRSD
Evergreen Forest,142,4499.12,4.12,2021,FRSE
Mixed Forest,143,2735.38,2.5,2021,FRST
Shrubland,152,720.76,0.66,2021,SHRB
 Grassland/Pasture,176,6172.53,5.65,2021,PAST
Woody Wetlands,190,19924.86,18.23,2021,WETL
Herbaceous Wetlands,195,499.43,0.46,2021,WETL
Triticale,205,17.24,0.02,2021,TRIT
Carrots,206,14.05,0.01,2021,CRRT
Asparagus,207,2.57,0.0,2021,ASPN
Garlic,208,0.06,0.0,2021,AGRL
Cantaloupes,209,0.34,0.0,2021,CANT
Peppers,216,10.72,0.01,2021,PEPP
Greens,219,1.62,0.0,2021,GRAS
Plums,220,0.31,0.0,2021,GRAP
Strawberries,221,0.13,0.0,2021,GRAP
Squash,222,22.86,0.02,2021,AGRR
Vetch,224,0.09,0.0,2021,GRAS
Dbl Crop WinWht/Corn,225,3.58,0.0,2021,CORN
Dbl Crop Oats/Corn,226,0.0,0.0,2021,CORN
Dbl Crop Triticale/Corn,228,10.63,0.01,2021,CORN
Pumpkins,229,33.75,0.03,2021,AGRR
Dbl Crop WinWht/Sorghum,236,0.91,0.0,2021,AGRR
Blueberries,242,192.55,0.18,2021,GRAP
Cabbage,243,19.21,0.02,2021,CABG
Cauliflower,244,0.09,0.0,2021,CAUF
Celery,245,3.91,0.0,2021,CELR
Radishes,246,2.28,0.0,2021,RADI
Turnips,247,0.52,0.0,2021,AGRR
Gourds,249,0.05,0.0,2021,ORCD
Dbl Crop Barley/Soybeans,254,0.0,0.0,2021,AGRR
