NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,11449.63,10.48,2012,CORN
Sorghum,4,7.19,0.01,2012,SGHY
Soybeans,5,8118.78,7.43,2012,SOYB
Sunflower,6,5.2,0.0,2012,SUNF
Sweet Corn,12,2.97,0.0,2012,CORN
Pop or Orn Corn,13,3.38,0.0,2012,CORN
Mint,14,0.26,0.0,2012,AGRR
Barley,21,10.97,0.01,2012,BARL
Spring Wheat,23,2.24,0.0,2012,SWHT
Winter Wheat,24,2499.43,2.29,2012,WWHT
Dbl Crop WinWht/Soybeans,26,0.3,0.0,2012,SOYB
Rye,27,27.25,0.02,2012,RYE
Oats,28,117.36,0.11,2012,OATS
Millet,29,0.04,0.0,2012,LENT
Speltz,30,2.07,0.0,2012,GRAS
Canola,31,0.91,0.0,2012,CANA
Alfalfa,36,4039.1,3.7,2012,ALFA
Other Hay/Non Alfalfa,37,1107.93,1.01,2012,ALFA
Camelina,38,0.03,0.0,2012,AGRR
Sugarbeets,41,695.47,0.64,2012,AGRR
Dry Beans,42,897.19,0.82,2012,AGRR
Potatoes,43,182.88,0.17,2012,POTA
Other Crops,44,0.01,0.0,2012,AGRR
Watermelons,48,2.06,0.0,2012,WMEL
Onions,49,12.47,0.01,2012,ONIO
Cucumbers,50,111.63,0.1,2012,CUCM
Peas,53,13.14,0.01,2012,PEAS
Tomatoes,54,9.61,0.01,2012,TOMA
Herbs,57,14.5,0.01,2012,SHRB
Clover/Wildflowers,58,20.52,0.02,2012,CLVA
Sod/Grass Seed,59,133.16,0.12,2012,GRAS
Switchgrass,60,0.11,0.0,2012,GRAS
Fallow/Idle Cropland,61,356.4,0.33,2012,AGRR
Cherries,66,295.63,0.27,2012,GRAP
Peaches,67,7.13,0.01,2012,GRAP
Apples,68,164.16,0.15,2012,APPL
Grapes,69,62.4,0.06,2012,GRAP
Christmas Trees,70,41.69,0.04,2012,GRAP
Other Tree Crops,71,0.35,0.0,2012,GRAP
Walnuts,76,0.26,0.0,2012,WALN
Pears,77,0.32,0.0,2012,GRAP
Open Water,111,2487.82,2.28,2012,WATR
Developed/Open Space,121,7166.21,6.56,2012,UIDU
Developed/Low Intensity,122,4898.51,4.48,2012,URLD
Developed/Med Intensity,123,1858.52,1.7,2012,URMD
Developed/High Intensity,124,762.1,0.7,2012,URHD
Barren,131,238.47,0.22,2012,SHRB
Deciduous Forest,141,27767.39,25.41,2012,FRSD
Evergreen Forest,142,4861.61,4.45,2012,FRSE
Mixed Forest,143,841.4,0.77,2012,FRST
Shrubland,152,638.77,0.58,2012,SHRB
 Grassland/Pasture,176,12649.38,11.57,2012,PAST
Woody Wetlands,190,13885.0,12.7,2012,WETL
Herbaceous Wetlands,195,665.0,0.61,2012,WETL
Triticale,205,1.66,0.0,2012,TRIT
Carrots,206,13.57,0.01,2012,CRRT
Asparagus,207,43.07,0.04,2012,ASPN
Broccoli,214,0.76,0.0,2012,BROC
Peppers,216,3.04,0.0,2012,PEPP
Plums,220,0.17,0.0,2012,GRAP
Strawberries,221,0.38,0.0,2012,GRAP
Squash,222,25.22,0.02,2012,AGRR
Dbl Crop WinWht/Corn,225,0.04,0.0,2012,CORN
Pumpkins,229,9.51,0.01,2012,AGRR
Dbl Crop WinWht/Sorghum,236,0.35,0.0,2012,AGRR
Blueberries,242,48.12,0.04,2012,GRAP
Cabbage,243,0.62,0.0,2012,CABG
Cauliflower,244,0.56,0.0,2012,CAUF
Celery,245,2.97,0.0,2012,CELR
Radishes,246,4.14,0.0,2012,RADI
Turnips,247,1.93,0.0,2012,AGRR
Eggplants,248,0.06,0.0,2012,EGGP
Gourds,249,0.03,0.0,2012,ORCD
Dbl Crop Barley/Soybeans,254,0.0,0.0,2012,AGRR
