NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,11590.48,10.61,2013,CORN
Sorghum,4,9.25,0.01,2013,SGHY
Soybeans,5,8119.35,7.43,2013,SOYB
Sunflower,6,3.22,0.0,2013,SUNF
Sweet Corn,12,7.33,0.01,2013,CORN
Pop or Orn Corn,13,6.59,0.01,2013,CORN
Mint,14,4.07,0.0,2013,AGRR
Barley,21,8.97,0.01,2013,BARL
Spring Wheat,23,1.06,0.0,2013,SWHT
Winter Wheat,24,3152.86,2.88,2013,WWHT
Dbl Crop WinWht/Soybeans,26,0.18,0.0,2013,SOYB
Rye,27,45.39,0.04,2013,RYE
Oats,28,129.57,0.12,2013,OATS
Millet,29,0.01,0.0,2013,LENT
Speltz,30,4.83,0.0,2013,GRAS
Canola,31,0.29,0.0,2013,CANA
Rape Seed,34,0.01,0.0,2013,CANA
Alfalfa,36,4055.96,3.71,2013,ALFA
Other Hay/Non Alfalfa,37,1144.94,1.05,2013,ALFA
Sugarbeets,41,709.65,0.65,2013,AGRR
Dry Beans,42,792.94,0.73,2013,AGRR
Potatoes,43,175.98,0.16,2013,POTA
Other Crops,44,0.0,0.0,2013,AGRR
Watermelons,48,4.1,0.0,2013,WMEL
Onions,49,8.76,0.01,2013,ONIO
Cucumbers,50,126.3,0.12,2013,CUCM
Peas,53,14.6,0.01,2013,PEAS
Tomatoes,54,16.47,0.02,2013,TOMA
Caneberries,55,0.09,0.0,2013,AGRR
Herbs,57,7.71,0.01,2013,SHRB
Clover/Wildflowers,58,24.1,0.02,2013,CLVA
Sod/Grass Seed,59,97.13,0.09,2013,GRAS
Switchgrass,60,34.61,0.03,2013,GRAS
Fallow/Idle Cropland,61,363.66,0.33,2013,AGRR
Cherries,66,349.77,0.32,2013,GRAP
Peaches,67,4.75,0.0,2013,GRAP
Apples,68,211.12,0.19,2013,APPL
Grapes,69,80.65,0.07,2013,GRAP
Christmas Trees,70,49.17,0.04,2013,GRAP
Walnuts,76,1.15,0.0,2013,WALN
Pears,77,1.14,0.0,2013,GRAP
Open Water,111,2472.87,2.26,2013,WATR
Developed/Open Space,121,7141.7,6.53,2013,UIDU
Developed/Low Intensity,122,4836.66,4.43,2013,URLD
Developed/Med Intensity,123,1909.74,1.75,2013,URMD
Developed/High Intensity,124,771.49,0.71,2013,URHD
Barren,131,245.14,0.22,2013,SHRB
Deciduous Forest,141,27658.7,25.31,2013,FRSD
Evergreen Forest,142,4789.31,4.38,2013,FRSE
Mixed Forest,143,891.17,0.82,2013,FRST
Shrubland,152,544.83,0.5,2013,SHRB
 Grassland/Pasture,176,11564.87,10.58,2013,PAST
Woody Wetlands,190,14326.8,13.11,2013,WETL
Herbaceous Wetlands,195,596.6,0.55,2013,WETL
Triticale,205,3.98,0.0,2013,TRIT
Carrots,206,13.89,0.01,2013,CRRT
Asparagus,207,47.94,0.04,2013,ASPN
Broccoli,214,0.91,0.0,2013,BROC
Peppers,216,5.08,0.0,2013,PEPP
Plums,220,1.62,0.0,2013,GRAP
Strawberries,221,0.43,0.0,2013,GRAP
Squash,222,20.11,0.02,2013,AGRR
Pumpkins,229,6.48,0.01,2013,AGRR
Blueberries,242,72.47,0.07,2013,GRAP
Cabbage,243,7.66,0.01,2013,CABG
Celery,245,2.8,0.0,2013,CELR
Radishes,246,0.57,0.0,2013,RADI
Turnips,247,0.13,0.0,2013,AGRR
Gourds,249,0.17,0.0,2013,ORCD
Cranberries,250,0.11,0.0,2013,AGRR
