NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10188.29,9.32,2014,CORN
Sorghum,4,9.46,0.01,2014,SGHY
Soybeans,5,9684.35,8.86,2014,SOYB
Sunflower,6,5.01,0.0,2014,SUNF
Sweet Corn,12,5.63,0.01,2014,CORN
Pop or Orn Corn,13,8.16,0.01,2014,CORN
Mint,14,2.15,0.0,2014,AGRR
Barley,21,7.79,0.01,2014,BARL
Spring Wheat,23,0.68,0.0,2014,SWHT
Winter Wheat,24,2740.4,2.51,2014,WWHT
Dbl Crop WinWht/Soybeans,26,0.02,0.0,2014,SOYB
Rye,27,59.53,0.05,2014,RYE
Oats,28,155.93,0.14,2014,OATS
Millet,29,0.1,0.0,2014,LENT
Speltz,30,6.25,0.01,2014,GRAS
Canola,31,0.03,0.0,2014,CANA
Rape Seed,34,0.02,0.0,2014,CANA
Alfalfa,36,3905.8,3.57,2014,ALFA
Other Hay/Non Alfalfa,37,874.21,0.8,2014,ALFA
Buckwheat,39,0.71,0.0,2014,AGRR
Sugarbeets,41,669.61,0.61,2014,AGRR
Dry Beans,42,1111.97,1.02,2014,AGRR
Potatoes,43,158.49,0.15,2014,POTA
Other Crops,44,0.01,0.0,2014,AGRR
Watermelons,48,6.65,0.01,2014,WMEL
Onions,49,2.06,0.0,2014,ONIO
Cucumbers,50,81.32,0.07,2014,CUCM
Peas,53,18.12,0.02,2014,PEAS
Tomatoes,54,10.96,0.01,2014,TOMA
Hops,56,1.71,0.0,2014,AGRR
Herbs,57,7.19,0.01,2014,SHRB
Clover/Wildflowers,58,15.88,0.01,2014,CLVA
Sod/Grass Seed,59,39.88,0.04,2014,GRAS
Switchgrass,60,28.25,0.03,2014,GRAS
Fallow/Idle Cropland,61,501.68,0.46,2014,AGRR
Cherries,66,353.17,0.32,2014,GRAP
Peaches,67,7.05,0.01,2014,GRAP
Apples,68,204.82,0.19,2014,APPL
Grapes,69,88.72,0.08,2014,GRAP
Christmas Trees,70,34.57,0.03,2014,GRAP
Walnuts,76,2.01,0.0,2014,WALN
Pears,77,1.2,0.0,2014,GRAP
Aquaculture,92,0.14,0.0,2014,AGRR
Open Water,111,2494.0,2.28,2014,WATR
Developed/Open Space,121,7086.78,6.48,2014,UIDU
Developed/Low Intensity,122,4877.69,4.46,2014,URLD
Developed/Med Intensity,123,1928.31,1.76,2014,URMD
Developed/High Intensity,124,776.27,0.71,2014,URHD
Barren,131,215.02,0.2,2014,SHRB
Deciduous Forest,141,27443.33,25.11,2014,FRSD
Evergreen Forest,142,4810.91,4.4,2014,FRSE
Mixed Forest,143,832.84,0.76,2014,FRST
Shrubland,152,565.71,0.52,2014,SHRB
 Grassland/Pasture,176,11966.22,10.95,2014,PAST
Woody Wetlands,190,14569.59,13.33,2014,WETL
Herbaceous Wetlands,195,601.19,0.55,2014,WETL
Triticale,205,4.14,0.0,2014,TRIT
Carrots,206,7.46,0.01,2014,CRRT
Asparagus,207,37.03,0.03,2014,ASPN
Cantaloupes,209,0.94,0.0,2014,CANT
Broccoli,214,0.98,0.0,2014,BROC
Peppers,216,4.85,0.0,2014,PEPP
Greens,219,0.04,0.0,2014,GRAS
Plums,220,1.26,0.0,2014,GRAP
Strawberries,221,0.52,0.0,2014,GRAP
Squash,222,13.37,0.01,2014,AGRR
Apricots,223,0.08,0.0,2014,AGRR
Dbl Crop WinWht/Corn,225,0.01,0.0,2014,CORN
Dbl Crop Oats/Corn,226,0.01,0.0,2014,CORN
Pumpkins,229,3.9,0.0,2014,AGRR
Blueberries,242,40.64,0.04,2014,GRAP
Cabbage,243,5.45,0.0,2014,CABG
Celery,245,2.38,0.0,2014,CELR
Radishes,246,0.87,0.0,2014,RADI
Turnips,247,0.7,0.0,2014,AGRR
Cranberries,250,0.01,0.0,2014,AGRR
Dbl Crop Barley/Soybeans,254,0.0,0.0,2014,AGRR
