NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10435.73,9.55,2011,CORN
Sorghum,4,6.75,0.01,2011,SGHY
Soybeans,5,8109.01,7.42,2011,SOYB
Sunflower,6,7.78,0.01,2011,SUNF
Sweet Corn,12,4.68,0.0,2011,CORN
Pop or Orn Corn,13,4.57,0.0,2011,CORN
Barley,21,11.72,0.01,2011,BARL
Spring Wheat,23,0.6,0.0,2011,SWHT
Winter Wheat,24,3138.93,2.87,2011,WWHT
Dbl Crop WinWht/Soybeans,26,0.1,0.0,2011,SOYB
Rye,27,54.06,0.05,2011,RYE
Oats,28,101.62,0.09,2011,OATS
Millet,29,0.14,0.0,2011,LENT
Speltz,30,1.83,0.0,2011,GRAS
Canola,31,0.68,0.0,2011,CANA
Mustard,35,0.05,0.0,2011,AGRR
Alfalfa,36,4196.41,3.84,2011,ALFA
Other Hay/Non Alfalfa,37,1176.75,1.08,2011,ALFA
Sugarbeets,41,550.41,0.5,2011,AGRR
Dry Beans,42,692.41,0.63,2011,AGRR
Potatoes,43,165.88,0.15,2011,POTA
Other Crops,44,0.0,0.0,2011,AGRR
Misc Vegs & Fruits,47,0.0,0.0,2011,AGRR
Watermelons,48,2.26,0.0,2011,WMEL
Onions,49,8.65,0.01,2011,ONIO
Peas,53,8.16,0.01,2011,PEAS
Tomatoes,54,5.1,0.0,2011,TOMA
Herbs,57,8.42,0.01,2011,SHRB
Clover/Wildflowers,58,18.51,0.02,2011,CLVA
Sod/Grass Seed,59,210.8,0.19,2011,GRAS
Switchgrass,60,12.0,0.01,2011,GRAS
Fallow/Idle Cropland,61,465.82,0.43,2011,AGRR
Cherries,66,255.99,0.23,2011,GRAP
Peaches,67,4.04,0.0,2011,GRAP
Apples,68,122.61,0.11,2011,APPL
Grapes,69,72.52,0.07,2011,GRAP
Christmas Trees,70,77.38,0.07,2011,GRAP
Walnuts,76,0.89,0.0,2011,WALN
Open Water,111,2488.9,2.28,2011,WATR
Developed/Open Space,121,7169.12,6.56,2011,UIDU
Developed/Low Intensity,122,4879.72,4.46,2011,URLD
Developed/Med Intensity,123,1910.72,1.75,2011,URMD
Developed/High Intensity,124,764.34,0.7,2011,URHD
Barren,131,263.54,0.24,2011,SHRB
Deciduous Forest,141,27718.67,25.36,2011,FRSD
Evergreen Forest,142,4959.84,4.54,2011,FRSE
Mixed Forest,143,878.0,0.8,2011,FRST
Shrubland,152,595.44,0.54,2011,SHRB
 Grassland/Pasture,176,12814.12,11.72,2011,PAST
Woody Wetlands,190,14180.26,12.97,2011,WETL
Herbaceous Wetlands,195,595.14,0.54,2011,WETL
Triticale,205,1.75,0.0,2011,TRIT
Carrots,206,15.21,0.01,2011,CRRT
Asparagus,207,44.18,0.04,2011,ASPN
Cantaloupes,209,0.02,0.0,2011,CANT
Prunes,210,0.02,0.0,2011,AGRR
Broccoli,214,0.48,0.0,2011,BROC
Peppers,216,2.44,0.0,2011,PEPP
Plums,220,0.2,0.0,2011,GRAP
Strawberries,221,0.13,0.0,2011,GRAP
Squash,222,32.08,0.03,2011,AGRR
Pumpkins,229,7.28,0.01,2011,AGRR
Dbl Crop Corn/Soybeans,241,0.15,0.0,2011,AGRR
Blueberries,242,30.99,0.03,2011,GRAP
Cabbage,243,1.08,0.0,2011,CABG
Celery,245,2.48,0.0,2011,CELR
Radishes,246,0.96,0.0,2011,RADI
Turnips,247,1.72,0.0,2011,AGRR
Gourds,249,0.02,0.0,2011,ORCD
Cranberries,250,0.19,0.0,2011,AGRR
