NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,8819.99,8.07,2019,CORN
Sorghum,4,50.64,0.05,2019,SGHY
Soybeans,5,7895.5,7.22,2019,SOYB
Sunflower,6,5.34,0.0,2019,SUNF
Sweet Corn,12,1.16,0.0,2019,CORN
Pop or Orn Corn,13,2.12,0.0,2019,CORN
Mint,14,10.25,0.01,2019,AGRR
Barley,21,5.4,0.0,2019,BARL
Spring Wheat,23,1.65,0.0,2019,SWHT
Winter Wheat,24,2468.39,2.26,2019,WWHT
Other Small Grains,25,1.05,0.0,2019,AGRR
Dbl Crop WinWht/Soybeans,26,3.64,0.0,2019,SOYB
Rye,27,71.09,0.07,2019,RYE
Oats,28,169.49,0.16,2019,OATS
Millet,29,0.65,0.0,2019,LENT
Speltz,30,0.4,0.0,2019,GRAS
Safflower,33,1.11,0.0,2019,AGRR
Alfalfa,36,4692.38,4.29,2019,ALFA
Other Hay/Non Alfalfa,37,977.51,0.89,2019,ALFA
Buckwheat,39,0.26,0.0,2019,AGRR
Sugarbeets,41,627.51,0.57,2019,AGRR
Dry Beans,42,836.55,0.77,2019,AGRR
Potatoes,43,182.7,0.17,2019,POTA
Other Crops,44,6.61,0.01,2019,AGRR
Misc Vegs & Fruits,47,0.17,0.0,2019,AGRR
Watermelons,48,4.91,0.0,2019,WMEL
Onions,49,8.58,0.01,2019,ONIO
Cucumbers,50,103.99,0.1,2019,CUCM
Peas,53,2.93,0.0,2019,PEAS
Tomatoes,54,5.52,0.01,2019,TOMA
Hops,56,0.09,0.0,2019,AGRR
Herbs,57,3.47,0.0,2019,SHRB
Clover/Wildflowers,58,29.31,0.03,2019,CLVA
Sod/Grass Seed,59,19.91,0.02,2019,GRAS
Fallow/Idle Cropland,61,4917.36,4.5,2019,AGRR
Cherries,66,380.66,0.35,2019,GRAP
Peaches,67,5.66,0.01,2019,GRAP
Apples,68,232.26,0.21,2019,APPL
Grapes,69,75.59,0.07,2019,GRAP
Christmas Trees,70,121.4,0.11,2019,GRAP
Other Tree Crops,71,0.07,0.0,2019,GRAP
Pears,77,1.51,0.0,2019,GRAP
Aquaculture,92,0.07,0.0,2019,AGRR
Open Water,111,2725.44,2.49,2019,WATR
Developed/Open Space,121,6803.5,6.23,2019,UIDU
Developed/Low Intensity,122,4818.82,4.41,2019,URLD
Developed/Med Intensity,123,2031.5,1.86,2019,URMD
Developed/High Intensity,124,846.51,0.77,2019,URHD
Barren,131,357.22,0.33,2019,SHRB
Deciduous Forest,141,29222.09,26.74,2019,FRSD
Evergreen Forest,142,4887.68,4.47,2019,FRSE
Mixed Forest,143,833.61,0.76,2019,FRST
Shrubland,152,1985.32,1.82,2019,SHRB
 Grassland/Pasture,176,6263.06,5.73,2019,PAST
Woody Wetlands,190,14677.23,13.43,2019,WETL
Herbaceous Wetlands,195,922.34,0.84,2019,WETL
Triticale,205,8.96,0.01,2019,TRIT
Carrots,206,5.75,0.01,2019,CRRT
Asparagus,207,3.91,0.0,2019,ASPN
Peppers,216,5.69,0.01,2019,PEPP
Greens,219,0.17,0.0,2019,GRAS
Plums,220,0.01,0.0,2019,GRAP
Strawberries,221,0.03,0.0,2019,GRAP
Squash,222,13.83,0.01,2019,AGRR
Dbl Crop WinWht/Corn,225,7.32,0.01,2019,CORN
Dbl Crop Oats/Corn,226,0.06,0.0,2019,CORN
Dbl Crop Triticale/Corn,228,0.3,0.0,2019,CORN
Pumpkins,229,4.75,0.0,2019,AGRR
Dbl Crop Barley/Corn,237,0.06,0.0,2019,AGRR
Blueberries,242,108.99,0.1,2019,GRAP
Cabbage,243,13.03,0.01,2019,CABG
Radishes,246,0.27,0.0,2019,RADI
Turnips,247,0.17,0.0,2019,AGRR
