NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,11014.69,10.08,2015,CORN
Sorghum,4,7.32,0.01,2015,SGHY
Soybeans,5,9625.6,8.81,2015,SOYB
Sunflower,6,4.56,0.0,2015,SUNF
Sweet Corn,12,2.08,0.0,2015,CORN
Pop or Orn Corn,13,4.35,0.0,2015,CORN
Mint,14,0.54,0.0,2015,AGRR
Barley,21,14.53,0.01,2015,BARL
Spring Wheat,23,1.99,0.0,2015,SWHT
Winter Wheat,24,2186.04,2.0,2015,WWHT
Dbl Crop WinWht/Soybeans,26,1.48,0.0,2015,SOYB
Rye,27,47.33,0.04,2015,RYE
Oats,28,187.03,0.17,2015,OATS
Millet,29,0.17,0.0,2015,LENT
Speltz,30,10.15,0.01,2015,GRAS
Canola,31,0.28,0.0,2015,CANA
Alfalfa,36,3935.49,3.6,2015,ALFA
Other Hay/Non Alfalfa,37,522.28,0.48,2015,ALFA
Buckwheat,39,0.25,0.0,2015,AGRR
Sugarbeets,41,607.5,0.56,2015,AGRR
Dry Beans,42,1236.68,1.13,2015,AGRR
Potatoes,43,132.1,0.12,2015,POTA
Other Crops,44,6.14,0.01,2015,AGRR
Misc Vegs & Fruits,47,1.12,0.0,2015,AGRR
Watermelons,48,2.49,0.0,2015,WMEL
Onions,49,4.63,0.0,2015,ONIO
Cucumbers,50,100.52,0.09,2015,CUCM
Peas,53,9.99,0.01,2015,PEAS
Tomatoes,54,9.44,0.01,2015,TOMA
Herbs,57,5.87,0.01,2015,SHRB
Clover/Wildflowers,58,12.5,0.01,2015,CLVA
Sod/Grass Seed,59,18.65,0.02,2015,GRAS
Switchgrass,60,1.38,0.0,2015,GRAS
Fallow/Idle Cropland,61,776.38,0.71,2015,AGRR
Cherries,66,280.06,0.26,2015,GRAP
Peaches,67,4.17,0.0,2015,GRAP
Apples,68,153.82,0.14,2015,APPL
Grapes,69,66.36,0.06,2015,GRAP
Christmas Trees,70,67.44,0.06,2015,GRAP
Other Tree Crops,71,0.08,0.0,2015,GRAP
Walnuts,76,0.01,0.0,2015,WALN
Pears,77,4.3,0.0,2015,GRAP
Aquaculture,92,0.01,0.0,2015,AGRR
Open Water,111,2732.97,2.5,2015,WATR
Developed/Open Space,121,6929.58,6.34,2015,UIDU
Developed/Low Intensity,122,4844.06,4.43,2015,URLD
Developed/Med Intensity,123,2071.62,1.9,2015,URMD
Developed/High Intensity,124,831.13,0.76,2015,URHD
Barren,131,328.04,0.3,2015,SHRB
Deciduous Forest,141,29483.45,26.98,2015,FRSD
Evergreen Forest,142,4682.98,4.28,2015,FRSE
Mixed Forest,143,804.28,0.74,2015,FRST
Shrubland,152,2084.03,1.91,2015,SHRB
 Grassland/Pasture,176,7711.79,7.06,2015,PAST
Woody Wetlands,190,14914.22,13.65,2015,WETL
Herbaceous Wetlands,195,732.74,0.67,2015,WETL
Triticale,205,1.81,0.0,2015,TRIT
Carrots,206,5.72,0.01,2015,CRRT
Asparagus,207,1.49,0.0,2015,ASPN
Peppers,216,1.55,0.0,2015,PEPP
Plums,220,0.56,0.0,2015,GRAP
Strawberries,221,0.11,0.0,2015,GRAP
Squash,222,15.21,0.01,2015,AGRR
Dbl Crop WinWht/Corn,225,1.2,0.0,2015,CORN
Dbl Crop Oats/Corn,226,0.03,0.0,2015,CORN
Pumpkins,229,2.08,0.0,2015,AGRR
Dbl Crop Barley/Corn,237,0.0,0.0,2015,AGRR
Dbl Crop Corn/Soybeans,241,0.01,0.0,2015,AGRR
Blueberries,242,37.18,0.03,2015,GRAP
Cabbage,243,5.27,0.0,2015,CABG
Cauliflower,244,0.0,0.0,2015,CAUF
Celery,245,0.57,0.0,2015,CELR
Radishes,246,0.39,0.0,2015,RADI
Turnips,247,0.38,0.0,2015,AGRR
Eggplants,248,0.18,0.0,2015,EGGP
Gourds,249,0.07,0.0,2015,ORCD
