train_loss,val_loss,test_loss,sw_train_loss,sw_val_loss,sw_test_loss,out_channels,epochs,lr,weight_decay,distance_options_km,gw_gw_distance_threshold_km,gw_features,gnn_model,aggregation,cluster,PCA1,PCA2
0.4551631808280945,0.3945930451154709,1.5181787610054016,245064.7265625,244860.765625,182310.2109375,48,1000,0.001,0.005,5.0,2.5,SWL_DEM,GatedEdgePReLUGNN,max,1,-0.14769410684909054,-0.7749452083085943
0.3552589565515518,1.1903031766414642,1.1609965562820437,254593.4921875,254535.078125,189217.625,16,1000,0.001,0.005,10.0,1.0,SWL_DEM,GatedEdgePReLUGNN,sum,0,-0.743832595070641,0.25202202618287206
0.2664429247379303,0.693779855966568,0.8353892862796783,224604.5703125,224576.9765625,166890.0546875,16,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,max,0,-0.8127620450317449,0.9869977709084002
3.33780038356781,2.9009745717048645,4.93641984462738,302100.234375,301572.375,224545.7578125,48,1000,0.001,0.005,10.0,2.5,SWL_DEM,GatedEdgePReLUGNN,max,0,3.55539670956776,-1.7461675684443758
0.2403265908360481,0.8676063418388367,0.4645222574472427,251531.1171875,251359.578125,186989.109375,48,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,mean,1,-0.7138842686376025,-1.0855887859980993
0.2399990409612655,1.2970945835113523,0.63116055727005,255909.0390625,255703.0546875,190109.640625,32,1000,0.001,0.005,7.5,2.5,SWL_DEM,GatedEdgePReLUGNN,mean,0,-0.6544164329940529,-0.024278456602690093
0.2061780393123626,0.4465137422084808,2.130193293094635,178767.15625,178037.59375,132921.1171875,16,1000,0.001,0.005,7.5,5.0,DEM,GatedEdgePReLUGNN,max,0,-0.024452425889405657,1.5738227179203905
0.2682779878377914,0.7443611323833466,0.4621223509311676,251051.4609375,250902.8046875,186586.640625,48,1000,0.001,0.005,10.0,5.0,SWL_DEM_lithological,GatedEdgePReLUGNN,mean,0,-0.5097240899343953,-0.8494032991194024
0.4995923042297363,0.8054735660552979,0.9668335318565368,353051.40625,352687.125,261979.796875,32,1000,0.001,0.005,10.0,2.5,DEM,GatedEdgePReLUGNN,sum,0,-0.5441148446990601,-0.45025236033729715
0.2916714400053024,0.5001536011695862,1.9276853203773496,266894.1484375,266634.640625,198480.3671875,48,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,max,1,-0.10682024509492559,-1.1350248527072861
0.6709303855895996,0.6579568386077881,0.9458611011505128,274997.375,275570.75,204430.734375,48,1000,0.001,0.005,7.5,5.0,SWL_DEM_lithological,GatedEdgePReLUGNN,sum,1,0.0008825932288698963,-0.5282532107717978
1.194732427597046,0.7601183652877808,1.2929791808128357,235264.25,236403.0078125,174640.5390625,32,1000,0.001,0.005,7.5,2.5,DEM,GatedEdgePReLUGNN,max,0,0.07611973417164664,-0.15206974031778966
0.1716138124465942,0.9226781725883484,0.4322513937950134,253300.0,253053.15625,188317.828125,32,1000,0.001,0.005,5.0,2.5,SWL_DEM,GatedEdgePReLUGNN,mean,1,-0.800544279958931,0.3416739693098591
1.4121886491775513,2.0855565667152405,2.0551501512527466,242759.6328125,242370.484375,180332.6875,48,1000,0.001,0.005,5.0,2.5,SWL_DEM,GatedEdgePReLUGNN,sum,1,1.0679712004341404,-0.7996828755698219
0.9040108025074004,1.78877854347229,1.9409762024879456,234488.1484375,234199.609375,174339.9375,16,1000,0.001,0.005,5.0,5.0,SWL_DEM_lithological,GatedEdgePReLUGNN,sum,1,0.6994455197559919,1.9444169726050806
0.3203642964363098,0.4938395619392395,1.6307005882263184,243010.078125,241591.390625,180438.171875,16,1000,0.001,0.005,5.0,1.0,SWL_DEM,GatedEdgePReLUGNN,max,1,-0.5687162697356996,0.9600557429458935
1.2860069870948792,1.1360254287719729,1.638857662677765,250319.4765625,250622.75,185962.359375,32,1000,0.001,0.005,10.0,2.5,SWL_DEM,GatedEdgePReLUGNN,sum,0,0.30293487502964933,-0.5229362627595487
0.3802221715450287,0.3865467011928558,0.9587169289588928,303907.09375,302398.625,227047.03125,32,1000,0.001,0.005,5.0,5.0,DEM,GatedEdgePReLUGNN,max,1,-0.2745579008520973,0.9044888973394927
0.9697962999343872,0.7327391505241394,2.2218222618103027,234404.59375,234213.15625,174804.234375,48,1000,0.001,0.005,5.0,1.0,DEM,GatedEdgePReLUGNN,max,1,0.3798296908099045,-1.1922180744618283
0.1947944462299347,0.552873969078064,1.4537091255187988,255134.46875,255144.421875,189845.5,32,1000,0.001,0.005,10.0,1.0,SWL_DEM_lithological,GatedEdgePReLUGNN,max,0,-0.7388624619362011,-0.812166406850241
0.7913488149642944,1.6605032682418823,1.3616583347320557,291511.40625,290825.3125,216879.0,32,1000,0.001,0.005,10.0,1.0,SWL_DEM_lithological,GatedEdgePReLUGNN,sum,0,-0.16238093417294525,-0.8170193300398197
0.6316982805728912,0.7816533744335175,1.7857725024223328,243023.6796875,242747.2109375,180582.34375,32,1000,0.001,0.005,5.0,1.0,DEM,GatedEdgePReLUGNN,max,1,-0.12539195806951717,-0.10450366722507012
1.4191268980503082,1.544087529182434,1.8870524168014529,280601.1796875,280059.5390625,208436.375,16,1000,0.001,0.005,10.0,2.5,DEM,GatedEdgePReLUGNN,sum,0,0.47254190903167864,0.5231495115641503
0.1360975950956344,0.6106960773468018,0.2869671285152435,253141.015625,252900.8125,188179.734375,48,1000,0.001,0.005,10.0,1.0,DEM,GatedEdgePReLUGNN,mean,0,-1.169992475469378,-1.826715307283455
