train_loss,val_loss,test_loss,sw_train_loss,sw_val_loss,sw_test_loss,out_channels,epochs,lr,weight_decay,distance_options_km,gw_gw_distance_threshold_km,gw_features,gnn_model,aggregation
0.4551631808280945,0.3945930451154709,1.5181787610054016,245064.7265625,244860.765625,182310.2109375,48,1000,0.001,0.005,5.0,2.5,SWL_DEM,GatedEdgePReLUGNN,max
0.3552589565515518,1.1903031766414642,1.1609965562820435,254593.4921875,254535.078125,189217.625,16,1000,0.001,0.005,10.0,1.0,SWL_DEM,GatedEdgePReLUGNN,sum
0.2664429247379303,0.693779855966568,0.8353892862796783,224604.5703125,224576.9765625,166890.0546875,16,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,max
3.33780038356781,2.9009745717048645,4.93641984462738,302100.234375,301572.375,224545.7578125,48,1000,0.001,0.005,10.0,2.5,SWL_DEM,GatedEdgePReLUGNN,max
0.24032659083604813,0.8676063418388367,0.46452225744724274,251531.1171875,251359.578125,186989.109375,48,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,mean
0.23999904096126556,1.2970945835113525,0.63116055727005,255909.0390625,255703.0546875,190109.640625,32,1000,0.001,0.005,7.5,2.5,SWL_DEM,GatedEdgePReLUGNN,mean
0.20617803931236267,0.44651374220848083,2.130193293094635,178767.15625,178037.59375,132921.1171875,16,1000,0.001,0.005,7.5,5.0,DEM,GatedEdgePReLUGNN,max
0.26827798783779144,0.7443611323833466,0.4621223509311676,251051.4609375,250902.8046875,186586.640625,48,1000,0.001,0.005,10.0,5.0,SWL_DEM_lithological,GatedEdgePReLUGNN,mean
0.49959230422973633,0.8054735660552979,0.9668335318565369,353051.40625,352687.125,261979.796875,32,1000,0.001,0.005,10.0,2.5,DEM,GatedEdgePReLUGNN,sum
0.29167144000530243,0.5001536011695862,1.9276853203773499,266894.1484375,266634.640625,198480.3671875,48,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,max
0.6709303855895996,0.6579568386077881,0.9458611011505127,274997.375,275570.75,204430.734375,48,1000,0.001,0.005,7.5,5.0,SWL_DEM_lithological,GatedEdgePReLUGNN,sum
1.194732427597046,0.7601183652877808,1.2929791808128357,235264.25,236403.0078125,174640.5390625,32,1000,0.001,0.005,7.5,2.5,DEM,GatedEdgePReLUGNN,max
0.17161381244659424,0.9226781725883484,0.4322513937950134,253300.0,253053.15625,188317.828125,32,1000,0.001,0.005,5.0,2.5,SWL_DEM,GatedEdgePReLUGNN,mean
1.4121886491775513,2.0855565667152405,2.0551501512527466,242759.6328125,242370.484375,180332.6875,48,1000,0.001,0.005,5.0,2.5,SWL_DEM,GatedEdgePReLUGNN,sum
0.9040108025074005,1.78877854347229,1.9409762024879456,234488.1484375,234199.609375,174339.9375,16,1000,0.001,0.005,5.0,5.0,SWL_DEM_lithological,GatedEdgePReLUGNN,sum
0.3203642964363098,0.4938395619392395,1.6307005882263184,243010.078125,241591.390625,180438.171875,16,1000,0.001,0.005,5.0,1.0,SWL_DEM,GatedEdgePReLUGNN,max
1.2860069870948792,1.1360254287719727,1.638857662677765,250319.4765625,250622.75,185962.359375,32,1000,0.001,0.005,10.0,2.5,SWL_DEM,GatedEdgePReLUGNN,sum
0.3802221715450287,0.38654670119285583,0.9587169289588928,303907.09375,302398.625,227047.03125,32,1000,0.001,0.005,5.0,5.0,DEM,GatedEdgePReLUGNN,max
0.9697962999343872,0.7327391505241394,2.2218222618103027,234404.59375,234213.15625,174804.234375,48,1000,0.001,0.005,5.0,1.0,DEM,GatedEdgePReLUGNN,max
0.1947944462299347,0.552873969078064,1.4537091255187988,255134.46875,255144.421875,189845.5,32,1000,0.001,0.005,10.0,1.0,SWL_DEM_lithological,GatedEdgePReLUGNN,max
0.7913488149642944,1.6605032682418823,1.3616583347320557,291511.40625,290825.3125,216879.0,32,1000,0.001,0.005,10.0,1.0,SWL_DEM_lithological,GatedEdgePReLUGNN,sum
0.6316982805728912,0.7816533744335175,1.7857725024223328,243023.6796875,242747.2109375,180582.34375,32,1000,0.001,0.005,5.0,1.0,DEM,GatedEdgePReLUGNN,max
1.4191268980503082,1.544087529182434,1.8870524168014526,280601.1796875,280059.5390625,208436.375,16,1000,0.001,0.005,10.0,2.5,DEM,GatedEdgePReLUGNN,sum
0.13609759509563446,0.6106960773468018,0.28696712851524353,253141.015625,252900.8125,188179.734375,48,1000,0.001,0.005,10.0,1.0,DEM,GatedEdgePReLUGNN,mean
0.09564194828271866,0.44388827681541443,0.46825066208839417,254152.5,253909.8125,188905.5,48,1000,0.001,0.005,5.0,5.0,DEM,GatedEdgePReLUGNN,mean
0.06673918664455414,0.6856023669242859,0.6177498698234558,254466.734375,254299.84375,189222.28125,16,1000,0.001,0.005,5.0,2.5,DEM,GatedEdgePReLUGNN,mean
0.5707902908325195,1.6810178756713867,1.0987707376480103,219088.359375,219597.328125,162646.359375,48,1000,0.001,0.005,10.0,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,sum
0.2199927568435669,0.4785724878311157,0.605331763625145,253387.7890625,253186.609375,188420.6640625,48,1000,0.001,0.005,7.5,1.0,DEM,GatedEdgePReLUGNN,mean
0.7622244358062744,0.7094114422798157,1.1100924015045166,266081.46875,266349.09375,197330.625,48,1000,0.001,0.005,10.0,5.0,SWL_DEM,GatedEdgePReLUGNN,sum
0.49012458324432373,0.36476942896842957,2.714021921157837,253487.28125,253133.734375,188096.234375,32,1000,0.001,0.005,10.0,5.0,SWL_DEM,GatedEdgePReLUGNN,max
0.7400299608707428,0.7512464225292206,0.9313864409923553,216875.3046875,216562.625,161026.359375,32,1000,0.001,0.005,5.0,2.5,DEM,GatedEdgePReLUGNN,sum
0.14720048755407333,0.850294828414917,0.28006337583065033,251378.859375,251240.921875,186884.1015625,48,1000,0.001,0.005,5.0,1.0,SWL_DEM_lithological,GatedEdgePReLUGNN,mean
0.9382667541503906,1.1929140090942383,1.2709612846374512,243836.953125,243757.578125,181255.546875,48,1000,0.001,0.005,7.5,2.5,SWL_DEM_lithological,GatedEdgePReLUGNN,sum
